t,I,u,I_nn,u_nn
2.57,48.09689505974612,0.7085666790415831,47.02753128245672,0.6957946
2.58,48.58980794936197,0.7014810122217136,47.50715389578669,0.68878204
2.59,49.08762890038652,0.6944662020699617,47.99152489985325,0.68183875
2.6,49.590408197764376,0.6875215400197704,48.48069171432252,0.67496526
2.61,50.098196627283095,0.6806463245900022,48.974702127388944,0.66816026
2.62,50.61104548070328,0.6738398613145743,49.47360429577416,0.66142327
2.63,51.12900656093939,0.667101462671824,49.97745881656159,0.65475374
2.64,51.65213218729248,0.6604304480155437,50.48629073300372,0.6481515
2.65,52.180475200734875,0.6538261435057514,51.000173446879145,0.64161515
2.66,52.714088969247776,0.6472878820410992,51.51916363916212,0.6351454
2.67,53.253027393211795,0.6408150031910206,52.0433109942755,0.62874126
2.68,53.79734491085161,0.6344068531294844,52.57266589999548,0.6224024
2.69,54.34709650373463,0.6280627845684927,53.10727944745157,0.6161271
2.7,54.90233770232483,0.6217821566931522,53.64720343112661,0.60991657
2.71,55.4631245915917,0.6155643350964959,54.19249034885679,0.6037691
2.72,56.029513816675625,0.6094086917158471,54.74319340183158,0.5976851
2.73,56.6015625886094,0.6033146047689375,55.29936649459383,0.59166324
2.74,57.1793286900973,0.5972814586915374,55.86106423503967,0.58570296
2.75,57.76287048135155,0.5913086440748585,56.42834193441859,0.57980454
2.76,58.35224690598746,0.5853955576043345,57.001255607333405,0.5739672
2.77,58.94751749697723,0.5795416019985423,57.57986197174021,0.5681904
2.78,59.548742382663335,0.5737461859487447,58.164218448948475,0.562474
2.79,60.15598229283226,0.5680087240594847,58.75438316362101,0.5568161
2.8,60.76929856484863,0.5623286367890553,59.3504149437739,0.5512179
2.81,61.38875314985107,0.556705350391369,59.952373320776594,0.54567814
2.82,62.01440861900973,0.5511382968575997,60.560318529351875,0.54019624
2.83,62.646328169846804,0.5456269138592064,61.17431150757581,0.5347725
2.84,63.2845756326199,0.5401706446907383,61.79441389687781,0.5294055
2.85,63.92921547676975,0.5347689382139929,62.420688042040666,0.52409536
2.86,64.58031281743207,0.5294212488019576,63.05319699120039,0.5188407
2.87,65.23793342201508,0.5241270362840801,63.69200449584646,0.51364255
2.88,65.9021437168424,0.5188857658913255,64.33719046927122,0.5084993
2.89,66.57301079386308,0.5136969082025354,64.98878930681333,0.5034107
2.9,67.25060241742825,0.5085599390905787,65.64688217600862,0.4983765
2.91,67.93498703113633,0.5034743396697781,66.31153564177643,0.49339622
2.92,68.6262337647462,0.4984395962431323,66.98281697238961,0.48846897
2.93,69.32441244116033,0.4934552002507889,67.66079413947429,0.48359525
2.94,70.02959358347728,0.48852064821831687,68.3455358180101,0.4787736
2.95,70.74184842211551,0.48363544170620515,69.03711138632951,0.474004
2.96,71.46124890200817,0.4787990872591639,69.73559092611877,0.46928552
2.97,72.18786768987046,0.47401109635662797,70.44104522241734,0.46461836
2.98,72.92177818153947,0.46927098536306794,71.1535457636182,0.46000198
2.99,73.66305450938816,0.464578275479478,71.87316474146701,0.45543548
3.0,74.41177154981322,0.45993249269468583,72.59997505106344,0.4509186
3.01,75.16800493079856,0.455333167737735,73.33405029086025,0.44645146
3.02,75.93183103955444,0.45077983603037713,74.07546476266333,0.4420327
3.03,76.70332703023315,0.4462720376400462,74.82429347163234,0.43766227
3.04,77.48257083172273,0.44180931723365174,75.58061212627982,0.43333992
3.05,78.2696411555182,0.4373912240312757,76.34449713847188,0.42906493
3.06,79.06461750367257,0.4330173117609562,77.11602562342783,0.4248369
3.07,79.86758017682695,0.42868713861329544,77.89527539972042,0.42065567
3.08,80.67861028232215,0.4244002671971434,78.68232498927584,0.4165208
3.09,81.497789742391,0.4201562644951096,79.47725361737331,0.412431
3.1,82.32520130243356,0.41595470182012784,80.28014121264538,0.4083869
3.11,83.160928539375,0.41179515477185347,81.0910684070783,0.4043873
3.12,84.00505587010805,0.40767720319409306,81.91011653601117,0.4004326
3.13,84.85766856001955,0.4036004311320688,82.73738745980452,0.3965212
3.14,85.7188527316035,0.3995644267906955,83.5729244757082,0.39265376
3.15,86.58869537316002,0.39556878249269545,84.41683065424768,0.38882938
3.16,87.46728434758224,0.3916130946377057,85.26919014419238,0.38504782
3.17,88.35470840123114,0.38769696366122625,86.13008779766542,0.38130835
3.18,89.2510571729001,0.3838199939945414,86.99960917014268,0.37761137
3.19,90.15642120286903,0.3799817940244848,87.87784052045325,0.37395513
